"SiteID","Year","Month","Day","Date","NEE_int","GPP_int","TA_avg","VPD_avg","SW_IN_avg","P_int","SWC_avg"
"US-xSR",2017,1,1,2017-01-01,0.182775,-0.147199,8.795,2.945,59.023,2.36,NA
"US-xSR",2017,1,2,2017-01-02,0.188531,-0.151525,8.756,6.108,153.408,6.49,NA
"US-xSR",2017,1,3,2017-01-03,0.199103,-0.151305,11.222,7.926,144.995,0,NA
"US-xSR",2017,1,4,2017-01-04,0.182775,-0.123753,13.83,9.176,153.876,0,NA
"US-xSR",2017,1,5,2017-01-05,0.188531,-0.131866,13.27,7.334,154.256,0,NA
"US-xSR",2017,1,6,2017-01-06,0.199103,-0.149469,12.09,7.008,146.681,0,NA
"US-xSR",2017,1,7,2017-01-07,0.182775,-0.131572,11.676,9.065,148.885,0,NA
"US-xSR",2017,1,8,2017-01-08,0.188531,-0.118669,15.301,11.443,153.769,0,NA
"US-xSR",2017,1,9,2017-01-09,0.199103,-0.124382,16.567,11.459,106.895,0,NA
"US-xSR",2017,1,10,2017-01-10,0.182775,-0.116459,15.138,12.259,144.845,0,NA
"US-xSR",2017,1,11,2017-01-11,0.188531,-0.129026,13.848,10.787,162.729,0,NA
"US-xSR",2017,1,12,2017-01-12,0.199103,-0.145736,12.326,10.159,163.361,0,NA
"US-xSR",2017,1,13,2017-01-13,0.182775,-0.130889,12.248,9.598,96.561,0,NA
"US-xSR",2017,1,14,2017-01-14,0.188531,-0.135157,12.903,6.597,97.018,0,NA
"US-xSR",2017,1,15,2017-01-15,0.199103,-0.163498,8.865,2.877,65.445,7.86,NA
"US-xSR",2017,1,16,2017-01-16,0.182775,-0.142267,10.065,4.658,90.759,3.51,NA
"US-xSR",2017,1,17,2017-01-17,0.188531,-0.147777,9.689,5.6,144.456,1.01,NA
"US-xSR",2017,1,18,2017-01-18,0.199103,-0.156433,10.17,6.223,140.868,0,NA
"US-xSR",2017,1,19,2017-01-19,0.182775,-0.141398,10.132,6.363,92.999,0,NA
"US-xSR",2017,1,20,2017-01-20,0.188531,-0.15055,9.496,3.503,61.694,0.85,NA
"US-xSR",2017,1,21,2017-01-21,0.199103,-0.163642,8.729,4.34,130.458,8.57,NA
"US-xSR",2017,1,22,2017-01-22,0.182775,-0.140752,9.71,7.576,170.562,1.13,NA
