"Case 8: This is the extreme states random forest vimp classifying for the refined NEE definition (low NEE = high gpp + low reco, etc) on the dataset with all combined sites.",,,,,,Case 9:  This is the same models with the previous NEE states removed as predictors. No site id.,,,,,,Case 10: This is the same models with the previous NEE states removed as predictors. With site id.,,,
,strong sink,strong source,inactive,,,,strong sink,strong source,inactive,,,,strong sink,strong source,inactive
misclassifications,0.0698,0.0745,0.1159,,,misclassifications,0.0491,0.0713,0.1328,,,misclassifications,0.05,0.0737,This was too large to run without monsoon. I moved on. 
SiteID,0.002292941,0.00102186,0.001919595,,,TA_avg,0.028130276,0.102912532,0.007542707,,,SiteID,0.010167607,0.002183976,
TA_avg,0.009918646,0.077449882,0.006496904,,,VPD_avg,0.012441817,0.08220298,0.003171329,,,TA_avg,0.027224962,0.101366013,
VPD_avg,0.008024512,0.063730091,0.00246632,,,SW_IN_avg,0.077754723,0.030536331,0.015197667,,,VPD_avg,0.012215489,0.082266058,
SW_IN_avg,0.054040972,0.022264235,0.011635474,,,P_int,0.002236749,0.005061065,0.000554801,,,SW_IN_avg,0.07660357,0.029177561,
P_int,0.002352254,0.004651431,0.00033918,,,SWC_avg,0.02193278,0.007633897,0.010432194,,,P_int,0.002083782,0.005053644,
SWC_avg,0.007720139,0.002466713,0.007234215,,,TA_avg_1,0.011440509,0.0212587,0.011914893,,,SWC_avg,0.02184381,0.007718496,
TA_avg_1,0.00440716,0.012054537,0.009685191,,,VPD_avg_1,0.00453047,0.01672081,0.004511896,,,TA_avg_1,0.011432705,0.019430186,
VPD_avg_1,0.002052564,0.011696849,0.003420868,,,SW_IN_avg_1,0.015263898,0.015563147,0.00708966,,,VPD_avg_1,0.00477709,0.017389434,
SW_IN_avg_1,0.004048937,0.009548494,0.005438986,,,P_int_1,0.000957603,0.035537286,0.000125173,,,SW_IN_avg_1,0.015492567,0.014682284,
P_int_1,0.000374612,0.026831067,0.000123558,,,SWC_avg_1,0.025019431,0.011114307,0.009739299,,,P_int_1,0.000932629,0.035454914,
SWC_avg_1,0.010065369,0.005802415,0.006902304,,,TA_avg_7,0.017267294,0.027207307,0.015602259,,,SWC_avg_1,0.024306107,0.010669794,
NEE_state_1,0.102063951,0.092540317,0.004436792,,,VPD_avg_7,0.01103702,0.026902308,0.005855693,,,TA_avg_7,0.017392165,0.027452198,
TA_avg_7,0.007310407,0.013579536,0.012307372,,,SW_IN_avg_7,0.044476647,0.020779309,0.016753047,,,VPD_avg_7,0.012368455,0.025688988,
VPD_avg_7,0.004439158,0.015412502,0.004745283,,,P_int_7,0.00576591,0.015763511,0.00327066,,,SW_IN_avg_7,0.04495662,0.021404892,
SW_IN_avg_7,0.014850263,0.01295321,0.01053314,,,SWC_avg_7,0.039029158,0.018313339,0.010311866,,,P_int_7,0.005186042,0.015419181,
P_int_7,0.002703453,0.007132985,0.002775619,,,TA_avg_sd_7,0.008147041,0.005219131,0.002957323,,,SWC_avg_7,0.038766148,0.018711842,
SWC_avg_7,0.015429352,0.010139199,0.007135692,,,VPD_avg_sd_7,0.003936553,0.002691567,0.003196363,,,TA_avg_sd_7,0.008083045,0.005102622,
NEE_state_7,0.114700879,0.057748833,0.011985959,,,SW_IN_avg_sd_7,0.005594213,0.003182089,0.004837346,,,VPD_avg_sd_7,0.00368525,0.002314584,
